time,rssi,snr
1588721892.07916,-106,-12.5
1587479652.15413,-117,-15
1588643803.41324,-110,-13
1588833690.12228,-115,-11.5
1584892934.21365,-119,-15.2
1584883613.25362,-119,-15
1588731973.60554,-106,-11.2
1588018001.36321,-117,-17
1584846311.6865,-121,-15.8
1586666326.05321,-117,-18
1586122093.55887,-115,-16.8
1586750472.43608,-111,-16.5
1588729838.88125,-121,-16
1584615264.17545,-121,-16
1588827888.1162,-119,-10.5
1588798904.45431,-115,-8.5
1583425790.63801,-117,-14.2
1588759418.58338,-115,-8.8
1588771147.62588,-103,-10.5
1586363048.83891,-119,-16
1588807759.55906,-101,-14.8
1584762714.34293,-119,-15.2
1583416846.91498,-119,-15.2
1583310761.16121,-115,-13.5
1588786700.89106,-104,-12.5
1584537137.90976,-113,-16.5
1588815086.57163,-111,-13.5
1588688246.87521,-116,-11.8
1583327056.17181,-117,-16
1584803392.9407,-120,-13.5
1586901564.36536,-121,-17.5
1587320985.82908,-114,-17
1588028850.46014,-119,-14.2
1587552469.79988,-117,-16.2
1588618329.11237,-103,-9.8
1588735931.59551,-119,-10
1587003344.76628,-116,-16.8
1587408199.14613,-121,-15.8
1588843476.4362,-109,-16
1588717619.55046,-114,-15.5
1586471661.00489,-115,-15.8
1586731828.15363,-116,-16.5
1588834907.98588,-117,-11.8
1588601504.12685,-110,-16.2
1587253676.83989,-120,-16
1588600591.43981,-107,-13.8
1587230430.36171,-121,-16.8
1587240155.93353,-121,-14.2
1584654130.64229,-121,-13
1586317586.0032,-119,-17.5
1583382731.44536,-116,-12.8
1588739597.43301,-114,-10.8
1586691928.2772,-116,-17.8
1587600193.85969,-117,-17.8
1588683660.10168,-110,-10
1588788530.68306,-102,-11.5
1588776292.72684,-116,-13.2
1586377402.02023,-117,-16.2
1587249772.51421,-113,-16.8
1588648420.31264,-110,-14.2
1588747221.65983,-117,-10
1588603665.13392,-110,-15
1586311774.74145,-116,-16.8
1586153717.02613,-111,-15.2
1586373639.46235,-116,-16.8
1586757828.87443,-116,-17.8
1588627542.36172,-115,-13.8
1584360584.77017,-119,-14
1588598143.51312,-105,-16
1586321822.56101,-117,-17.5
1588610695.85786,-116,-11.2
1588730143.93935,-119,-15
1588635846.82548,-117,-13
1588588020.91089,-109,-16.5
1588844089.91772,-119,-7.2
1586986859.8694,-116,-17.5
