time,rssi,snr
1588602436.37858,-81,9.8
1588603972.42643,-80,8.5
1588605508.59951,-81,8
1588607044.77971,-83,8.5
1588608581.08057,-80,7.5
1588610117.24631,-83,4.8
1588611653.05646,-85,9.8
1588613189.2403,-81,8.8
1588614725.42185,-80,9.5
1588616268.24616,-81,10
1588617804.30823,-81,8.8
1588619340.48419,-85,11.2
1588620876.66515,-85,10.8
1588622412.46808,-84,10.5
1588623948.76404,-76,9.2
1588625484.94098,-80,9
1588627021.12584,-81,9.5
1588631021.60605,-83,8.2
1588632557.65168,-80,9
1588634093.83238,-83,8.5
1588635630.0177,-85,9
1588637166.30602,-80,9.2
1588638702.12773,-80,9
1588640238.28402,-81,9.2
1588641774.46019,-80,9.5
1588642542.37021,-76,9
1588643310.6167,-83,8.5
1588644085.53954,-86,6.8
1588644853.44219,-85,9.5
1588645621.35298,-93,8.2
1588646389.50302,-83,9.2
1588647157.40931,-76,8.2
1588647925.65507,-80,6.2
